,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Columbus Crew,Williams,JJ,"$95,000.04 )","$149,750.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Portland Timbers,Williamson,Eryk,"$120,000.00 )","$136,500.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,Houston Dynamo,Willis,Joe,"$165,000.00 )","$172,833.33 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Colorado Rapids,Wilson,Danny,"$500,000.04 )","$540,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,San Jose Earthquakes,Wondolowski,Chris,"$800,000.04 )","$800,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Philadelphia Union,Wooten,Andrew,"$510,000.00 )","$595,833.33 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,New England Revolution,Wright,Brian,"$70,875.00 )","$70,875.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,New York Red Bulls,Wright-Phillips,Bradley,"$1,200,000.00 )","$1,380,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Colorado Rapids,Wynne,Deklan,"$74,250.00 )","$74,250.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Montreal Impact,Yao,Karifa,"$56,250.00 )","$60,466.39 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,DC United,Yow,Griffin,"$70,250.04 )","$76,368.37 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,San Jose Earthquakes,Yueill,Jackson,"$145,000.08 )","$190,000.08 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,New England Revolution,Zahibo,Wilfred,"$513,000.00 )","$583,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Portland Timbers,Zambrano,Renzo,"$70,250.04 )","$70,250.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Columbus Crew,Zardes,Gyasi,"$1,421,666.64 )","$1,471,666.64 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Toronto FC,Zavaleta,Eriq,"$275,004.00 )","$296,962.33 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Sporting Kansas City,Zelalem,Gedion,"$56,250.00 )","$77,916.67 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,LAFC,Zelaya,Rodolfo,"$162,500.04 )","$185,833.37 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,Sporting Kansas City,Zendejas,Adrian,"$70,250.04 )","$70,250.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,FC Dallas,Ziegler,Reto,"$820,000.08 )","$870,000.08 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,LAFC,Zimmerman,Walker,"$600,000.00 )","$600,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,FC Dallas,Zobeck,Kyle,"$70,875.00 )","$70,875.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,LA Galaxy,Zubak,Ethan,"$75,000.00 )","$78,125.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,Sporting Kansas City,Zusi,Graham,"$625,000.08 )","$688,333.41 )"
